
Oliver-Paty-Nicolau-Rafael-Cláudio Oliveira-Helder-Deyse-Rosivan-Cesar-Fabio-Marcelo-Jefferson-Daniel-Alex-Otair-Rejane-Edson-Moacyr-Sylas-Clarice-Luiz Amaro-Claudio Luis-Paulo-Ademar-Angelo-Dirce

Dados obtidos de: https://pad.riseup.net/p/1JDJ0JDs07YTO5qP8cGt
com alteração nas entradas para que todas tenham CINCO números separados exclusivamente por vírgula (sem espaços).

6,22,26,31,46-08,09,13,17,51-03,05,20,56,57-12,17,28,45,55-3,9,35,38,60-10,12,18,25,47-09,21,39,45,57-7,17,23,41,52-5,10,18,33,42-5,12,32,45,58-6,9,15,22,45-03,23,09,18,45-05,35,15,26,39-13,23,44,50,61-22,11,14,32,60-01,05,21,35,48-20,06,72,14,21-08,23,35,48,60-23,45,66,67,77-4,47,45,19,32-52,14,55,41,7-2,8,17,21,42-3,34,37,38,56-23,32,38,45,54-1,2,3,4,5-1,3,5,21,24



06,22,26,31,46-
08,09,13,17,51-
03,05,20,56,57-
12,17,28,45,55-
03,09,35,38,60-
10,12,18,25,47-
09,21,39,45,57-
07,17,23,41,52-
05,10,18,33,42-
05,12,32,45,58-
06,09,15,22,45-
03,23,09,18,45-
05,35,15,26,39-
13,23,44,50,61-
22,11,14,32,60-
01,05,21,35,48-
20,06,72,14,21-
08,23,35,48,60-
23,45,66,67,77-
04,47,45,19,32-
52,14,55,41,07-
02,08,17,21,42-
03,34,37,38,56-
23,32,38,45,54-
01,02,03,04,05-
01,03,05,21,24

